_id,tweet_id,tweet_date,nbr_likes,nbr_retweets,nbr_caracters,author_id,text,comments,cleaned_text,mentions
676bea28f79f312fd703d50e,1871877916285706650,2024-12-25 11:17:27+00:00,0,0,230,1849839193763012608,"مباريات اليوم من مؤجل الجولة 14 من البطولة الإحترافية إنوي

Today's matches from the postponed 14th round of the Botola Pro Inwi

#FRMF #LNFP #BotolaProInwi #BOTOLAPRO #الدوري_المغربي 🇲🇦 #البطولة_الإحترافية https://t.co/seupx4uv9N","[{'comment_order': 0, 'comment_date': None, 'comment_text': 'No comments available', 'comment_likes': 0}]",مباريات اليوم من مؤجل الجولة 14 من البطولة الإحترافية إنوي today s matches from the postponed 14th round of the botola pro inwi frmf lnfp botolaproinwi botolapro الدوري_المغربي البطولة_الإحترافية ,[]
676bedc9f79f312fd703d50f,1871878320314634276,2024-12-25 11:19:04+00:00,0,1,139,1455257774,"RT @LNFP_Officiel: مباريات اليوم من مؤجل الجولة 14 من البطولة الإحترافية إنوي

Today's matches from the postponed 14th round of the Botola…","[{'comment_order': 0, 'comment_date': None, 'comment_text': 'No comments available', 'comment_likes': 0}]",rt lnfp_officiel مباريات اليوم من مؤجل الجولة 14 من البطولة الإحترافية إنوي today s matches from the postponed 14th round of the botola ,['@LNFP_Officiel']
676bedfcf79f312fd703d511,1871870247172780236,2024-12-25 10:46:59+00:00,1,0,52,1342619772308115456,Xmas Botola Pro Inwi 🇲🇦🎄!!!! https://t.co/xWRQWITYKS,"[{'comment_order': 0, 'comment_date': None, 'comment_text': 'No comments available', 'comment_likes': 0}]",xmas botola pro inwi ,[]
676bee16f79f312fd703d512,1871847495346815252,2024-12-25 09:16:34+00:00,0,0,70,1086724355801956352,@NdouK1997 @InnocentKhabz Ni a mudivha Pelepele inwi? Ha ambi fhedzi 😂,"[{'comment_order': 0, 'comment_date': None, 'comment_text': 'No comments available', 'comment_likes': 0}]", ndouk1997 innocentkhabz ni a mudivha pelepele inwi ha ambi fhedzi ,"['@NdouK1997', '@InnocentKhabz']"
676bee30f79f312fd703d513,1871846022290514316,2024-12-25 09:10:43+00:00,0,0,22,1310227664939212802,@Patsh2o Recharge inwi,"[{'comment_order': 0, 'comment_date': None, 'comment_text': 'No comments available', 'comment_likes': 0}]", patsh2o recharge inwi,['@Patsh2o']
676bee4af79f312fd703d514,1871845097698132349,2024-12-25 09:07:03+00:00,0,0,20,1839827206102462464,@eawdlkrk Zid inwi 🥰,"[{'comment_order': 0, 'comment_date': None, 'comment_text': 'No comments available', 'comment_likes': 0}]", eawdlkrk zid inwi ,['@eawdlkrk']
676bee64f79f312fd703d515,1871844530334667003,2024-12-25 09:04:47+00:00,8,0,303,1007316241,"Indicateurs Marché de télécom T 3 (2024): 

A- Le mobile : 

1- le parc global de la téléphonie mobile s’est établi à 60,3 millions d’abonnés

2- le taux de pénétration à 161,3%

3- Part de marché mobile Maroc Telecom: 32,8% (19,8 millions d'abonnés)

4- PDM Orange inwi : 33,6 % https://t.co/0TQhVVW9Vs","[{'comment_order': 0, 'comment_date': None, 'comment_text': 'No comments available', 'comment_likes': 0}]",indicateurs marché de télécom t 3 2024 a le mobile 1 le parc global de la téléphonie mobile s est établi à 60 3 millions d abonnés 2 le taux de pénétration à 161 3 3 part de marché mobile maroc telecom 32 8 19 8 millions d abonnés 4 pdm orange inwi 33 6 ,[]
676bee7ef79f312fd703d516,1871836031798149307,2024-12-25 08:31:01+00:00,0,0,88,1869381806153408512,@b_hamza60662 @Laty92 @Le360fr @OrangeMaroc @Maroc_Telecom @inwi https://t.co/y7zCn42bII,"[{'comment_order': 0, 'comment_date': None, 'comment_text': 'No comments available', 'comment_likes': 0}]", b_hamza60662 laty92 le360fr orangemaroc maroc_telecom inwi ,"['@b_hamza60662', '@Laty92', '@Le360fr', '@OrangeMaroc', '@Maroc_Telecom', '@inwi']"
676bee98f79f312fd703d517,1871836018116350013,2024-12-25 08:30:58+00:00,0,0,88,1867939997870895104,@b_hamza60662 @Laty92 @Le360fr @OrangeMaroc @Maroc_Telecom @inwi https://t.co/yKtTT51ybA,"[{'comment_order': 0, 'comment_date': None, 'comment_text': 'No comments available', 'comment_likes': 0}]", b_hamza60662 laty92 le360fr orangemaroc maroc_telecom inwi ,"['@b_hamza60662', '@Laty92', '@Le360fr', '@OrangeMaroc', '@Maroc_Telecom', '@inwi']"
676beeb2f79f312fd703d518,1871833908066869624,2024-12-25 08:22:35+00:00,0,0,241,1842003544326770688,"Seleb Tiktok Zqya blunder pas lagi mabok di bungkus, ini real apa edit? Katanya ini pake AI. Gimana tanggapan kalian der? Inwi video zqya nilai aja sendiri :
Zqya Viral Video Bokep
Video Viral Zqya Tiktok
FULL LINK 🔽🔽
https://t.co/neoN3T2PlU","[{'comment_order': 0, 'comment_date': None, 'comment_text': 'No comments available', 'comment_likes': 0}]",seleb tiktok zqya blunder pas lagi mabok di bungkus ini real apa edit katanya ini pake ai gimana tanggapan kalian der inwi video zqya nilai aja sendiri zqya viral video bokep video viral zqya tiktok full link ,[]
676bf68a1dc6f2a0de15b116,1871791856507650175,2024-12-25 05:35:29+00:00,0,0,37,2871804945,@khulisonesh @khuliso_Neels Inwi vho!,"[{'comment_order': 0, 'comment_date': None, 'comment_text': 'No comments available', 'comment_likes': 0}]", khulisonesh khuliso_neels inwi vho ,"['@khulisonesh', '@khuliso_Neels']"
676bfa2a1dc6f2a0de15b117,1871761157788426399,2024-12-25 03:33:30+00:00,0,1,111,1356187210064809985,RT @_Botola_News: 🚨 Le programme de la 17ème journée de Botola Pro INWI a été dévoilé ! https://t.co/Czr6JscvIU,"[{'comment_order': 0, 'comment_date': None, 'comment_text': 'No comments available', 'comment_likes': 0}]",rt _botola_news le programme de la 17ème journée de botola pro inwi a été dévoilé ,['@_Botola_News']
676bfdca1dc6f2a0de15b118,1871895892544111006,2024-12-25 12:28:53+00:00,0,0,213,2980038599,@Laty92 @Le360fr @OrangeMaroc @Maroc_Telecom @inwi en pleine route national entre oujda et taourirt j'avais de la 4G et yavais strictement aucune habitation en dehors de champs de culture donc perso je dis chapeau,"[{'comment_order': 0, 'comment_date': None, 'comment_text': 'No comments available', 'comment_likes': 0}]", laty92 le360fr orangemaroc maroc_telecom inwi en pleine route national entre oujda et taourirt j avais de la 4g et yavais strictement aucune habitation en dehors de champs de culture donc perso je dis chapeau,"['@Laty92', '@Le360fr', '@OrangeMaroc', '@Maroc_Telecom', '@inwi']"
